Experience Name,Description,Intended Age Range (years old),Content Difficulty (1-3),Topics,GS Assistance,"GS Priority/
Popularity",Average Visitor Duration,Copy,More Copy
All-Aboard,HO scale model train table representing Milwaukee. Contains a scavenger hunt with seasonal pieces switched out regularly. ,All Ages,1,"trains, modeling, display, scavenger hunt, city, Milwaukee",No,1,5 - 10 mins,"All Aboard!
Trains and railways have been a 'model' of innovation for hundreds of years, leading to advances in industry, agriculture, and transportation. Powered by steam, diesel fuel, or electricity, trains represent one of the most important ways that people and goods travel. Trains have also been a staple of pop culture and have been featured in some of our favorite movies. From Thomas the Tank Engine to The Hogwarts Express, these favorites take us on adventures and spark our imaginations. What is YOUR favorite? Today, trains and railways embody the technological advancements we've seen accelerate around the globe. From smart sensors and automated inspection equipment to computer programs that maximize fuel use, trains continue to carry us into the future.
Train Time
Before trains, every town across the country set their own clocks based on solar noon, the moment when the sun is at its highest point in the sky. In Milwaukee, solar noon happens about a minute before it happens in Waukesha and about 14 minutes before it happens in Eau Claire. Clocks were different everywhere you went, but no one could get anywhere fast enough for it to matter. Then trains happened. Trains need schedules, not just for passengers, but also for safety. If your local clock is 14 minutes faster or slower than someone else's local clock, how can you coordinate? Railway companies were the first to set standard times. Trains ran on standardized timetables set by the companies. To a railway company, it was the same time in Chicago and Eau Claire as it was in Milwaukee and Minneapolis. Eventually, the railroad companies convinced governments to divide North America into five time zones. Today, the United States has nine different time zones.
Staying on Track
How do trains stay on the tracks? Trains are massive and they have a lot of momentum. Newton's 1st Law of Motion says that objects that are moving want to keep moving in a straight line. But train routes aren't perfectly straight lines. When something with wheels goes around a curve, the outside wheels have farther to go and need to turn faster. The wheels on a car turn at different speeds thanks to something called a differential. Trains don't have a differential. Their wheels turn at the same speed. What's the solution? Train wheels aren't cylinders, they're cone-shaped and wider on the inside. If the track curves to the right, the train shifts to the left. Because the wheels have a slight cone shape, and are wider on the inside, the left wheels are now just a little bigger than the wheels on the right. This means that the left wheels travel a little bit farther than the ones on the right, all while turning at the same speed. Self-correcting wheels keep trains on the tracks.",
A.I. Table Tennis,A game of PONG where guests move right and left to control their paddle. The game is three rounds and the opponent uses AI to get better each round. ,All Ages,3,"video games, AI, technology, competition, Rockwell Automation",No,5,1 - 2 mins,"A.I. Table Tennis
Step up and help Discovery World TEST out a new exhibit! Challenge an A.I. (Artificial Intelligence) Opponent to digital table tennis. Watch out though, through the power of a machine learning algorithm, the A.I. opponent will get more challenging in each level. In order to move the 'paddle' in front of you, move your body side to side in front of the screen.",
Ball Park Roof,Model American Family Field where guests are challenges to spin a wheel at an exact speed to open or close the roof. Experience simulates the technology Rockwell Automation developed for American Family Field. ,All Ages,2,"baseball, sports, technology, Milwaukee, Rockwell Automation",No,5,1 - 2 mins,"Ball Park Roof
The fan-shaped roof includes 12,000 tons of structural steel and is comprised of seven panels (five of which are movable). Each movable roof panel moves independently of the others, rotating on a fixed pivot bearing behind home plate.
The roof is powered by motors controlled by Rockwell Automation Variable Speed Drives. Variable Speed Drives allow roof operators to control the speed of the motors, for safety and to avoid damaging the roof. 
Follow the instructions on the screen to match the waveform and move the roof panels.",
Calatrava,Model Milwaukee Art Museum where guests can spin a wheel to open and close the Calatrava wings. ,All Ages,2,"technology, Milwaukee, art, Rockwell Automation",Float,4,2 mins,*Exhibit yet to be installed,
Compression Rheostat,"A smaller experience that visually highlights the first invention by Lynde Bradley, the founder of the Allen-Bradley company.",All Ages,3,"history, Rockwell Automation, engines",Float,5,> 1 min,"Compression Rheostat
Tighten the handle to compress the carbon discs. What do you see? Loosen the handle to increase resistance. What happens? The compression rheostat lets you control the amount of electric current in the circuit. Current is the flow of electricity. A circuit is the path that the electricity takes.",
Connect Four,Automated game where guests can play connect four against a robotic A.I.,All Ages,2,"video games, technology, board games, competition, Rockwell Automation",Float,3,1 - 4 mins,"Fanuc Robot-M-11a
Gary is a sorting robot built by FANUC and controlled by a Rockwell Automation Programmable Automation Controller (PAC). Gary is very good at sorting. He's fast, accurate, and he's got excellent vision. Gary can recognize objects, track moving objects, and select parts from a bin. Robots like the FANUC M-11a assemble electronics and work on assembly lines. They are used in the pharmaceutical industry, the health care industry, the food industry, and many other industries.",
Dream Machine,"Flagship experience where guests can choose a foam sheet, feed it into a slot, and select a design to be laser cut into it. Guests are able to observe the laser cutting and take home their completed foam sheet.",All Ages,3,"toys, technology, lasers, animals, robotics, Rockwell Automation",Float,1,5 - 10 mins,"Sensor
1. 42KD Miniature Photoelectric Sensors
A very tiny version of the Rockwell Automation photoelectric sensor.
2. Rightsight™ Photoelectric Sensors
These sensors emit a beam of light. When an object like your foam sheet interrupts the beam, the sensor sends a signal to the Programmable Automation Controller or PAC. The PAC is the computer brain of the Dream Machine. It knows where each sensor is, so it knows where the object is.
3. 871P Versacube™ Inductive Proximity Sensors
Inductive Proximity Sensors work just like a metal detector. They generate an electromagnetic (EM) field to detect metal objects. The EM field induces a second EM field in a nearby metal object. The strength of the second EM field depends on the distance from the sensor to the object being sensed. Here,
Inductive Proximity Sensors indicate if the Infeed Gate is open or closed.
If the EM field is weak, that means the gate is open. If the EM field is strong, the gate is closed.
Inductive proximity sensors are used in food processing and manufacturing, robotic welding, and for packaging/ materials handling.
4. Visisight™ Sensors Photoelectric Sensors
How does the machine ""know"" where your order is? These sensors emit an eye-safe beam of red light. When something interrupts the beam, the sensor communicates that an object was detected. The ControlLogix® Programmable Automation Controller (PAC), the computer brain of the Dream Machine, knows where each sensor is, so it knows where the object is the instant it interrupts the beam. VisiSight™ Photoelectric Sensors are used in packaging, materials handling, and sortation.
Sensaguard™ RFID
You may have noticed that this exhibit is enclosed with acrylic panels. That's for your safety. These machines are smart, but they don't know you're here. They are programmed to do a specific thing and won't stop until they receive a signal to stop. Safety is incredibly important in factories and on assembly lines. Of course, people need to access these machines to perform troubleshooting and maintenance. That's why there are doors with SensaGuard™ sensors on them. SensaGuard™ sensors use a combination of RFID technology (radio signals that read a chip) and inductive proximity sensors (to detect metal) to let the machines know whether the panel doors are open or closed. If closed, everything runs just fine. If open, the machine stops.
","Follow Your Order!
1. Infeed 
Place your foam sheet into the infeed slot.
2. Robotic Arm
A FANUC M420iA industrial robotic arm with a vacuum attachment is maneuvering your foam sheet. Gladys, the Tic-Tac-Toe-playing robot, is also an M420iA industrial robot.
3. Laser Cutter
Lasers are great for measuring, pointing, and fantastic for cutting stuff. Your foam sheet is being cut by a CO2 laser that emits a beam of coherent (focused), infrared light. Rather than moving on a gantry (an overhead framework), the laser beam is guided by moving lenses.
4. Conveyor
A conveyor is the perfect tool for moving products from one place to another. Each conveyor has two motors that are housed inside the shiny rollers. These motors are controlled by a PowerFlex® AC Drive, which in turn is controlled by the Programmable Automatic Controller.
5. Pick-Up 
Your product will arrive here."
Dream Machine: Control Cabinet,Control cabinet that houses the main computer and electronics for the Dream Machine. Guest can observe the electronics through a glass wall.,12 +,3,"toys, technology, lasers, animals, robotics, Rockwell Automation",Float,3,> 1 min,"Control Cabinet
This cabinet houses the electronic brain of the Dream Machine. All the sensors, the AC motors, the laser cutters, and everything else are controlled by the ControlLogix® Programmable Automation Controller or PAC.
Kinetix® Servo Drives
Servos are a very precise and accurate electric motor. You can control their position, how fast they move, and how quickly they accelerate. Servo motors are controlled by servo drives. The Programmable Automation Controller or PAC (the computer brain of the Dream Machine) sends control signals to the Kinetix® Servo Drives. The drives amplify these signals and send them to the servos. Here in the Dream Machine, Kinetix® Servo Drives provide the motion control for the servo motors that move the laser cutters.
Armorblock® I/O
The Rockwell Automation ArmorBlock® I/O gathers information from the sensors and sends it to the Programmable Automation Controller (the computer brain), which determines what needs to be done.
Ethernet Control
One feature of Rockwell Automation systems is the Ethernet network, which allows all the systems to process information and communicate over a single network. Ethernet control gives operators a lot more control over the entire system. It also saves money on wiring and troubleshooting. And you can monitor and operate your factory from anywhere in the world.",
Music Factory,Falling golf balls activate various sensors that are connected to musical notes. Guests have the opportunity to program midis to create songs using these sounds. ,All Ages,3,"music, coding, technology, Rockwell Automation",Float,2,3 - 5 mins,*No substantial copy,
Simon,Guests play a game where they memorize the order of colors and repeat it back to the AI. This experience utilizes Rockwell Automation's MagneMover technology. ,All Ages,2,"video games, AI, technology, memory, board games, competition, Rockwell Automation",No,5,2 - 7 mins,"Simon
Featuring MagneMotion Technology
This exhibit is currently in a prototype phase. Thank you for helping us test it out. MagneMotion product integrations have improved speed, flexibility, and motion control in a wide variety of automation applications-including packaging and chemical laboratories. To introduce and demonstrate the intelligence and flexibility of the MagneMotion independent cart technology, Rockwell Engineers and students from Waukesha County Technical College have developed a fun pattern-matching interactive inspired by the popular game Simon.
Follow the instructions on the screens in front of you to see if you're up to the challenge.",
